﻿﻿"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_winter_embrace_bonus_armor"				"BONUS ARMOR:"

		"inventory_full_custom_message"				"You cannot get item. Inventory is full"
		"neutral_item_keep"							"Keep"
		"neutral_item_drop"							"Drop on base"
		"neutral_item_take"							"Take"
		"player_still_have_a_lot_of_neutral_items"	"You still have 2 neutral items"
		"unit_still_have_a_lot_of_neutral_items"	"Unit still have 2 neutral items"

		"DOTA_Tooltip_modifier_sand_king_boss_caustic_finale"				"Caustic Finale"
		"DOTA_Tooltip_modifier_sand_king_boss_caustic_finale_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
	
		//Chat Wheel
		"announcers"						"Announcers"
		"englishannouncer"					"English Announcer"
		"englishannouncer2"					"English Announcer 2"
		"chineseannouncer"					"Chinese Announcer"
		"chineseannouncer2"					"Chinese Announcer 2"
		"russianannouncer"					"Russian Announcer"
		"russianannouncer2"					"Russian Announcer 2"
		"dotaplus"							"Dota Plus"
		"dotaplus2"							"Dota Plus 2"
		"battlepass2019"					"BattlePass 2019"
		"epiccaster"						"Epic Caster"
		"epiccaster2"						"Epic Caster 2"
		"koreancaster"						"Korean Caster"
		"sprays"							"Sprays(soon)"
		"heroes"							"Heroes"
		"hero"								"Hero"
		"more"								"More"
		"favourites"						"Favourites"
		"heros_a-b"							"Heroes A-B"
		"heros_b-c"							"Heroes B-C"
		"heros_c-d"							"Heroes C-D"
		"heros_d-e"							"Heroes D-E"
		"heros_e-i"							"Heroes E-I"
		"heros_j-l"							"Heroes J-L"
		"heros_l-m"							"Heroes L-M"
		"heros_m-n"							"Heroes M-N"
		"heros_n-p"							"Heroes N-P"
		"heros_p-r"							"Heroes P-R"
		"heros_s-s"							"Heroes S-S"
		"heros_s-t"							"Heroes S-T"
		"heros_t-u"							"Heroes T-U"
		"heros_u-w"							"Heroes U-W"
		"heros_w-z"							"Heroes W-Z"
		"whtooltip"							"Type '-ch {d:num}' to play this sound"
		"votooltip"							"Hold 'L' to access the chat wheel"
		"whtooltipff"						"Right click a sound to add it to the favorites menu"
		//No need to localize
		//en
		"patience"							"Patience from Zhou"
		"wow"								"Waow"
		"all_dead"							"They're all dead!"
		"brutal"							"Brutal. Savage. Rekt."
		"disastah"							"It's a disastah!"
		"easiest_money"						"Easiest money of my life!"
		"echo_slama_jama"					"Echo Slamma Jamma!"
		"next_level"						"The next level!"
		"youre_a_hero"						"You're a goddamn hero!"
		"playing_to_win"					"That's ing to win, baby!"
		"that_was_questionable"				"I...uh...That was questionable at the...at the best."
		"what_just_happened"				"I can't believe what we're seeing. What just happened?"
		"oy_oy_oy"							"Oyoy oy oy, oy, oy, oy, oy, oy!"
		"ta_daaaa"							"Lakad Matataaag! Normalin, Normalin."
		"oh_my_lord"						"Oh my lord!"
		"looking_spicy"						"It's looking Spicy!"
		"no_chill"							"This guy has no chill"
		"ding_ding_ding"					"Ding Ding Ding Mother******"
		"absolutely_perfect"				"Absolutely Perfect"
		"lets_play"							"Let's Play Some Dota"
		"nakupuuu"							"NAKUPUU"
		"whats_cooking"						"You know what's cooking? BOOM!"
		"eughahaha"							"Eughahaha Aah Ha Ha Ha Ha"
		"glados_chat_21"					"I estimate the probability of winning to be above 99%."
		"glados_chat_01"					"I'm not angry, I'm Just Disappointed."
		"glados_chat_07"					"I estimate the probability of winning to be above 1%."
		"glados_chat_04"					"I estimate the probability of winning to be 17%."
		"goodness_gracious"					"Sir Chief. Goodness Gracious Papable."
		"kooka_laugh"						"Kookabura Laugh"
		"monkey_biz"						"Monkey Business"
		"orangutan_kiss"					"Sloppy Orangutan Kiss"
		"skeeter"							"Mosquito Buzz"
		"crowd_groan"						"Crowd Groan"
		"head_bonk"							"Head Bonk"
		"record_scratch"					"Record Scratch"
		"ta_da"								"Ta Daaaaaa"
		//ru
		"bozhe_ti_posmotri"					"Боже, ты посмотри вокруг, что происходит!"
		"zhil_do_konsta"					"Жил до конца, умер как герой"
		"ay_ay_ay"							"Ай-ай-ай-ай-ай, что сейчас произошло!"
		"ehto_g_g"							"Это ГГ"
		"eto_prosto_netchto"				"Это. Просто. Нечто."
		"krasavchik"						"Красавчик!"
		"bozhe_kak_eto_bolno"				"Боже, как это больно!"
		"oy_oy_bezhat"						"Ой-ой-ой-ой-ой, бежать!"
		"eto_nenormalno"					"Это ненормально, это нечестно!"
		"eto_sochno"						"Как же это сочно, ах!"
		"kreasa_kreasa"						"Резать Резать Резать Резать"
		"kak_boyge_te_byechenya"			"Какой же ты бешеный, а"
		"eto_ge_popayx_feeda"				"Это уже попахивает фидом"
		"da_da_da_nyet"						"Да? Да? Да? Нет."
		"wot_eto_bru"						"Вот Это Врыв!"
		//korean
		"kor_yes_no"						"네, 노, 네, 노 노 노!"
		"kor_scan"							"스캔 돌려야 되요 따라란따란따라라라란 스캔 돌려야 된다고요!"
		"kor_immortality"					"Mommy! I got me! Immortality!"
		"kor_roshan"						"Roshan! Roshan! Roshan!"
		"kor_yolo"							"골드 부활 못 해! YOLO! 골드 부활 못 해! YOLO!"
		"kor_million_dollar_house"			"10억짜리 꿈의 고리! 15억짜리 꿈의 고리!"
		//ch
		"duiyou_ne"							"啊，队友呢？队友呢？队友呢？！队友呢？！？！"
		"wan_bu_liao_la"					"玩不了啦!"
		"po_liang_lu"						"破两路更好打, 是吧?"
		"tian_huo"							"天火!"
		"jia_you"							"加油!"
		"zou_hao_bu_song"					"走好, 不送"
		"liu_liu_liu"						"这波不亏"
		//ch2
		"hu_lu_wa"							"葫芦娃救爷爷"
		"ni_qi_bu_qi"						"你气不气?"
		"gao_fu_shuai"						"这就是高富帅啊"
		"gan_ma_ne_xiong_di"				"干嘛呢兄弟"
		"bai_tuo_shei_qu"					"拜托谁去杀了他吧"
		"piao_liang"						"漂~ 亮！"
		"lian_dou_xiu_wai_la"				"脸都秀歪啦"
		"zai_jian_le_bao_bei"				"再见了宝贝儿！"

		"stop_to_feed_on_enemy_base"		"Hero Denied because they were feeding Tower/Fountain"

		"DOTA_Tooltip_ability_item_disable_help_custom"					"Disable Help"
		"DOTA_Tooltip_ability_item_disable_help_custom_Description"		"<h1>Use: Disable Help</h1> Cast on an ally hero to prevent them from using abusive spells on you. Alternatively you can use the checkbox on the scoreboard to disable help."
		"DOTA_Tooltip_ability_item_disable_help_custom_Lore"			"With friends like these, who needs enemies?"

		"DOTA_Tooltip_ability_item_mute_custom"					        "Mute Player"
		"DOTA_Tooltip_ability_item_mute_custom_Description"				"<h1>Use: Mute Player</h1> Cast on the hero of a player that you wish to mute. Alternatively you can use the volume button on the scoreboard to mute them."
		"DOTA_Tooltip_ability_item_mute_custom_Lore"							"Silence is golden"

		"fast_buy_items"					                            "Cannot Buy Yet"

		"cannotgiveiteminthiscourier"			                        "You cannot give item in this courier."
		"alreadyhaveprivatecourier"			                            "You already have a private courier."
		"DOTA_Tooltip_ability_item_patreon_courier"			            "Private Courier"
		"DOTA_Tooltip_ability_item_patreon_courier_Description"			"<h1>Use: Deploy Private Courier</h1> Deploys a creature to carry items to and from your team's base. Only you can use this courier. Only high level supporters (25$ Tier) can buy this item."

		"our_thanks_and_appreciation"				"Our Thanks and Appreciation"
		"our_thanks_and_appreciation_description"	"We are grateful to all the players who play in our project and support us"
	
				"DOTA_Tooltip_modifier_get_xp"					"Golden Aura"
		"DOTA_Tooltip_modifier_get_xp_Description"		"Gaining more gold and experience!"

		"DOTA_Tooltip_modifier_get_xp_global"					"Global Aura"
		"DOTA_Tooltip_modifier_get_xp_global_Description"		"Gaining gold and experience"

		"DOTA_Tooltip_modifier_fountain_aura_effect_lua"					"Fountain Aura"
		"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"		"Healing"

		"DOTA_Tooltip_ability_item_bag_of_gold"			"300 Gold"
		"DOTA_Tooltip_ability_item_treasure_chest"		"Treasure Chest"

//=================================================================================================================
// 	Hero Names
//==============================================================================================================
		
		"npc_dota_hero_sand_king"									"Carty The Catapult"
		"npc_dota_hero_brewmaster"									"Aloha Snackbar"
		"npc_dota_hero_techies"										"Cheeki Breeki"
		"npc_dota_hero_axe"											"Le Balanced Axe Man"
		"npc_dota_hero_tinker"										"Artillery"
		"npc_dota_hero_drow_ranger"									"The Glass Cannon"
		"npc_dota_hero_elder_titan"									"Roshan"
		"npc_dota_hero_Bloodseeker"									"Sonic the Hedgehog"
		"npc_dota_hero_dark_seer"									"Normal Dark Seer from Dota"
		"npc_dota_hero_spectre"										"The Joy of Painting with Spectre"
		"npc_dota_hero_meepo"										"Meepobot"
		"npc_dota_hero_phoenix"										"Burd"
		"npc_dota_hero_skeleton_king"								"Death Is My Bitch"
		"npc_dota_hero_omniknight"									"Bashlord"
		"npc_dota_hero_weaver"										"The Swarm"
		"npc_dota_hero_furion"										"Korean Micro God"
		"npc_dota_hero_wisp"										"Spikey Ball"
		"npc_dota_hero_Juggernaut"									"Dragonball Z Character"
		"npc_dota_hero_sniper"										"Call of Duty"
		"npc_dota_hero_oracle"										"Crazy Ass Time Guy"
		"npc_dota_hero_broodmother"									"AAAH FUCK GIANT SPIDER"
		"npc_dota_hero_jakiro"										"Mud Golem"
		"npc_dota_hero_witch_doctor"								"Death Ward"
		"npc_dota_hero_huskar"										"Debuffer"
		"npc_dota_hero_doom_bringer"									"Dire Safe Lane"
		"npc_dota_hero_nevermore"				"A Really Angry Tower"
		"npc_dota_hero_morphling"				"FISH"
		"npc_dota_hero_centaur"										"Mr Stompy"
		"npc_dota_hero_lone_druid"									"Shapeshifter"
		"npc_dota_hero_lich"										"Pinball Wizard"
		"npc_dota_hero_tiny"										"Annoying Little Spider"
		"npc_dota_hero_chaos_knight"								"Big Guy"
		"npc_dota_hero_dazzle"										"Ding Dong Never Die"
		"npc_dota_hero_gyrocopter" 									"Space Ship"
		"npc_dota_hero_windrunner" 									"Bouncey Ranger"
		"npc_dota_hero_nyx_assassin"		 	"Stop Hitting Yourself"
		"npc_dota_hero_sven" 										"REALLY SHOUTY MAN"
		"npc_dota_hero_tusk" 										"King Flippy Nips"
		"npc_dota_hero_phantom_assassin"							"Queen Crits-A-Lot"
		"npc_dota_hero_terrorblade" 								"Illusion Bitch"
		"npc_dota_hero_alchemist" 									"20 Second Stun Lmao"
		"npc_dota_hero_death_prophet" 								"Crowded Here"
		"npc_dota_hero_kunkka"										"Omega Kunkka"
		"npc_dota_hero_pugna"										"Happy Little Leprechaun"
		"npc_dota_hero_visage"										"Rocket Megee"
		"npc_dota_hero_antimage"									"Blinkin Slammin Antimage"
		"npc_dota_hero_razor"										"The Weatherman"
		"npc_dota_hero_dragon_knight"								"Suca your life"
		"npc_dota_hero_enigma"										"S P A C E M A N"
		"npc_dota_hero_shredder"				"Tarzan"
		"npc_dota_hero_ember_spirit"								"Super Kill Myself Man"
		"npc_dota_hero_crystal_maiden"								"Mei"
		"npc_dota_hero_enchantress"									"Impetus"
		"npc_dota_hero_Lina"					"Please Do Not Hurt Waifu"
		"npc_dota_hero_venomancer"									"Torbjorn"
		"npc_dota_hero_treant"										"Fern Gully"
		"npc_dota_hero_necrolyte"				"Mega Aids"
		"npc_dota_hero_ursa"										"Very Salty Bear Man"
		"npc_dota_hero_storm_spirit"								"Telsa Tower"
		"npc_dota_hero_silencer"									"The Human Snowball"
		"npc_dota_hero_abyssal_underlord"							"Year Beast"
		"npc_dota_hero_undying"										"Tombstone"
		"npc_dota_hero_lion"										"President Trump"
		"npc_dota_hero_ancient_apparition" 							"Ice Frog"
		"npc_dota_treedamage" 										"Sniper Tree"
		"npc_dota_creature_berserk_zombie"							"Fast Zombie"
		"npc_dota_creature_basic_zombie"							"Slow Zombie"
		"npc_dota_hero_arc_warden"									"Thanos"
		"npc_dota_hero_earthshaker"									"Harambe"
		"npc_dota_hero_puck"										"Fuck"
		"npc_dota_hero_monkey_king" 								"haha look its monkey king but his ability's are all overpowered haha what a funny hero wow riveting gameplay design haha"
		"npc_dota_hero_life_stealer"								"Passive Agressive Dude"
		"npc_dota_hero_mars"										"IT'S A SPEAR, FUCK YOU"
		"npc_dota_hero_weaver"										"The Swarm"
		"npc_dota_hero_zuus"										"This Game is Balanced"
		"npc_dota_hero_rattletrap"									"Clusterfuck Man"
		"npc_dota_hero_pudge"										"Pudge Wars"
		"npc_dota_hero_rubick"										"The Grand Magus"
		"npc_dota_hero_bristleback"									"Snot Gozzal"
		"npc_dota_hero_night_stalker"								"Batman"	
		"npc_dota_hero_clinkz"										"Skeleton King"
		"npc_dota_hero_medusa"										"Split Shot"
		"npc_dota_hero_bounty_hunter"								"Tax Evader"
		"npc_dota_hero_pangolier"									"Bowling Ball"
		"npc_dota_hero_dawnbreaker"									"Devastating 4th Blow"
		"npc_dota_hero_warlock"										"Warlock Golem"
		"npc_dota_hero_spirit_breaker"								"Thomas the Dank Engine"
		"npc_dota_hero_bane"										"Hold That Thought Please"
		"npc_dota_hero_chen"										"The Fountain"
				
		
	    "DOTA_Tooltip_ability_alchemist_acid_bomb"                                        "Acid Bomb"
        "DOTA_Tooltip_ability_alchemist_acid_bomb_Description"                            "Hurls a flask of acid at a target. the flask breaks upon impact, splashing a powerful acid on nearby hostile units. Decreases armor; deals slightly less damage over time to nearby targets."
		"DOTA_Tooltip_ability_lion_finger_of_death"						"Finger of Nerf"
		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt"						"20 Second Stun Lmao"
		"DOTA_Tooltip_ability_skywrath_mage_concussive_shot"						"GET PUMPED!"
		"DOTA_Tooltip_ability_dark_seer_surge"						"Sprint"
		"DOTA_Tooltip_ability_bloodseeker_thirst"						"Gotta Go Fast"
		"DOTA_Tooltip_ability_chaos_knight_chaos_strike"						"ULTRA CRIT"
		"DOTA_Tooltip_ability_maketreedamages_lua"						"Spawn Sniper Trees"
		"DOTA_Tooltip_ability_makeskeletonks_lua"						"Spawn Skeleton Tanks"
		"DOTA_Tooltip_ability_makezombies2_lua"						"Spawn Fast Zombies"
		"DOTA_Tooltip_ability_makezombies1_lua"						"Spawn Slow Zombies"
		"DOTA_Tooltip_ability_makerangedcreeps_lua"						"Spawn Ranged Creeps"
		"DOTA_Tooltip_ability_makemeleecreeps_lua"						"Spawn Melee Creeps"
		"DOTA_Tooltip_ability_makecatapults_lua"						"Spawn Siege Creeps"
		"DOTA_Tooltip_ability_makedragons_lua"						"Spawn Granite Golems"
		"DOTA_Tooltip_ability_makedrakes_lua"						"Spawn Mud Golems"
		"DOTA_Tooltip_ability_makeskeletons_lua"						"Spawn Skeleton Grunts"
		"DOTA_Tooltip_ability_juggernaut_blade_fury"						"Ion Shell"
		"DOTA_Tooltip_ability_ember_spirit_flame_guard"						"Ion Shell"
		"DOTA_Tooltip_ability_magnataur_reverse_polarity"						"Vacuum"
		"DOTA_Tooltip_ability_luna_lucent_beam"						"Orbital Strike"
		"DOTA_Tooltip_ability_luna_eclipse"						"Orbital Bombardment"
		"DOTA_Tooltip_ability_spirit_breaker_empowering_haste"						"Rocket Boosters"
		"DOTA_Tooltip_ability_medusa_mana_shield"						"Deflector Shield"
		"DOTA_Tooltip_ability_doom_bringer_infernal_blade"						"Doom Swipe"
		"DOTA_Tooltip_ability_doom_bringer_infernal_blade_Description"						"Final Boss hits his opponent with the force of 1000 bullshit JRPG boss fights, like fucking Yunalesca in FFX, where they fucking high when they designed that boss fight i mean fucking god damn what kind of a mechanic is zombie to even have in a game anyway and then after going through that bullshit they're all like Tidus is a ghost and I can't even remember what that was going on with that kid in the hood. The point is you like instant kill people with one attack and fuck all the end game bosses in FFX. Rikku was pretty ok though 7/10"
		"DOTA_Tooltip_ability_chen_test_of_faith"						"Test of Luck"
		"DOTA_Tooltip_ability_sniper_assassinate"						"Second Amendment"
		"DOTA_Tooltip_ability_granite_golem_bash"                                        "Golem Smash!"
		"DOTA_Tooltip_ability_granite_golem_bash_Description"                            "20% chance to bash and stun the unit for 1.25/2/2.75/3.5 seconds."		
		"DOTA_Tooltip_ability_bristleback_warpath"                                        "Too Swole to Control"
		"DOTA_Tooltip_ability_riki_blink_strike"                                        "*Teleports behind you*"
		"DOTA_Tooltip_ability_Trump_secretservice"									"Secret Service"
		"DOTA_Tooltip_ability_Trump_secretservice_Description"						"Trump Summons 3/6/9/12 secret service agents to swarm and slow down his attackers, giving him time to escape to safety"
		"DOTA_Tooltip_ability_blinding_light_datadriven"									"Bouncing Light"
		"DOTA_Tooltip_ability_blinding_light_datadriven_Description"						"Knock targets high into the air, don't worry, they land back down safely and gently. They must have a really nice view from up there :)"
		"DOTA_Tooltip_ability_blinding_light_datadriven_knockback_height"					"Height"
		"DOTA_Tooltip_ability_blinding_light_datadriven_knockback_duration"					"Duration"
		"DOTA_Tooltip_ability_blinding_light2_datadriven"									"Bullshit AOE Attack"
		"DOTA_Tooltip_ability_blinding_light2_datadriven_Description"						"A staple for boss fights since the start of time, your opening to deal damage to the boss suddenly appears, but just as you close the gap and get some good damage in, you find yourself knocked away and the whole fight resets. You'll probably have to do this 3 times."
		"DOTA_Tooltip_ability_blinding_light2_datadriven_radius"							"Radius"
		"DOTA_Tooltip_ability_blinding_light2_datadriven_abilitydamage"							"Damage"
		"DOTA_Tooltip_ability_ghost_frost_attack"									"Endothermic Blaster"
		"DOTA_Tooltip_ability_ghost_frost_attack_Description"						"Mei's Endothermic Blaster slows her enemys movement speed to a crawl. This ability is actually less annoying in this game compared to her ability in Overwatch."
		"DOTA_Tooltip_ability_Mei_fervor"									"Fervor"
		"DOTA_Tooltip_ability_Mei_fervor_Description"						"Mei gains increased attack speed."
		"DOTA_Tooltip_ability_Mei_fervor_attackspeed"						"Attack Speed:"
		"DOTA_Tooltip_ability_drow_ranger_marksmanship"									"The Most Annoying Thing Ever"
		"DOTA_Tooltip_ability_drow_ranger_marksmanship_Description"										"Mei is so incredibly annoying her attacks make you wish you where dead."
		"DOTA_Tooltip_ability_winter_wyvern_cold_embrace"									"Cryo-Freeze"
		"DOTA_Tooltip_ability_winter_wyvern_cold_embrace_Description"						"Encases an ally in an icy cocoon, freezing them solid while healing. The cocoon blocks all physical damage. Am I glad that she's frozen in there and that we're out here and that she's the sheriff and that we're frozen out here and that we're in there and I just rememebered, we're out here. What I want to know is where's Mei?"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade"									"Blizzard"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_Description"						"Mei deploys a weather-modification drone that emits gusts of wind and snow in a wide area. Enemies caught in the blizzard are slowed and take damage."
		"DOTA_Tooltip_ability_ursa_overpower_Description"										"Enchantress gains increased attack speed for a number of subsequent attacks. Guaranteed to blow whichever motherfucker you decide to target straight to hell"
		"DOTA_Tooltip_ability_sniper_take_aim"								"Extra Attack Range"
		"DOTA_Tooltip_ability_sniper_take_aim_Description"								"Every point you put in this is another tremor of fear in your opponents heart as you rain death on those motherfuckers from the opposite side of the map. Sproink Bitch."
		"DOTA_Tooltip_ability_sniper_take_aim_datadriven"									"Even More Attack Range"
		"DOTA_Tooltip_ability_sniper_take_aim_datadriven_Description"						"They think they're safe because they can't see you, jokes on those motherfuckers as your massive throbbing Impetus dicks come shooting out of the fog, penetrating them with the force of 1000 suns."
		"DOTA_Tooltip_ability_sniper_take_aim_datadriven_bonus_attack_range"									"Range"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust"									"Rage Mode"
		"DOTA_Tooltip_ability_ogre_magi_bloodlust_Description"			"Enraged by the noob from his last game of Dota, Bear Man becomes large, fast and scary. His rage subsides quickly though, because he knows deep down, he is a noob too."
		"DOTA_Tooltip_ability_Crit_avatar"									"Avatar of Crit"
		"DOTA_Tooltip_ability_Crit_avatar_Description"						"Do not try and crit the hero. That's impossible. Instead only try to realize the truth. Then you'll see, that it is not the hero that crits, it is only yourself."
		"DOTA_Tooltip_ability_Crit_avatar_attackspeed"						"Attackspeed:"
		"DOTA_Tooltip_ability_Crit_avatar_evasion"						"Evasion:"
		"DOTA_Tooltip_ability_Crit_avatar_regen"						"Health Regen:"
		"DOTA_Tooltip_ability_Crit_avatar_movespeed"						"Movespeed:"
		"DOTA_Tooltip_ability_jakiro_macropyre"									"Alizarin Crimson"
		"DOTA_Tooltip_ability_jakiro_macropyre_Description"						"There are no mistakes, only happy accidents."
		"DOTA_Tooltip_ability_spectre_spectral_dagger"									"Midnight Black"
		"DOTA_Tooltip_ability_spectre_spectral_dagger_Description"						"Mix up a little more shadow color here, then we can put us a little shadow right in there. See how you can move things around? You have unlimited power on this canvas -- can literally, literally move mountains"
		"DOTA_Tooltip_ability_enigma_midnight_pulse"									"Phthalo Blue"
		"DOTA_Tooltip_ability_enigma_midnight_pulse_Description"						"If I paint something, I don't want to have to explain what it is"
		"DOTA_Tooltip_ability_riki_smoke_screen"									"Happy Little Cloud"
		"DOTA_Tooltip_ability_riki_smoke_screen_Description"						"Lets build a happy little cloud."
		"DOTA_Tooltip_ability_skywrath_mage_mystic_flare"									"Lets get a little crazy here"
		"DOTA_Tooltip_ability_skywrath_mage_mystic_flare_Description"						"The secret to doing anything is believing that you can do it. Anything that you believe you can do strong enough, you can do. Anything. As long as you believe."
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash"									"Greater Bounce"
		"DOTA_Tooltip_ability_spirit_breaker_greater_bash_Description"						"Gives a chance to stun and bounce an enemy unit on an attack, as well as gaining bonus movement speed after a bounce occurs. Deals a percentage of movement speed as damage."
		"DOTA_Tooltip_ability_legion_commander_press_the_attack"									"Press the Bounce"
		"DOTA_Tooltip_ability_legion_commander_press_the_attack_Description"						"Removes debuffs and bounces from the target friendly unit, and grants bonus attack speed and health regen for a short time. 5 seconds of extra bounces!"
		"DOTA_Tooltip_ability_windrunner_focusfire"									"Focus Bounce"
		"DOTA_Tooltip_ability_windrunner_focusfire_Description"						"Gain massive attack speed against a single enemy, allowing you to bounce them into another dimension"
		"DOTA_Tooltip_ability_puck_illusory_orb"									"Fucklusory Orb"
		"DOTA_Tooltip_ability_puck_illusory_orb_Description"						"Fuck launches a magic fuck that floats in a straight path, fucking enemy fucks along the way. At any point, Fuck may telefuck to the fuck's location using Ethereal Fuck."
		"DOTA_Tooltip_ability_mirana_starfall"									"Starfuck"
		"DOTA_Tooltip_ability_mirana_starfall_Description"						"Calls down a wave of fucks to fuck nearby enemy fucks. The closest enemy fuck to Fuck in a 425 radius will be fucked a second time for 75% of the fuck."
		"DOTA_Tooltip_ability_puck_ethereal_jaunt"									"Ethereal Fuck"
		"DOTA_Tooltip_ability_puck_ethereal_jaunt_Description"						"Fucks Fuck to a fucking Fucklusory Orb"
		"DOTA_Tooltip_ability_puck_dream_coil"									"Dream Fuck"
		"DOTA_Tooltip_ability_puck_dream_coil_Description"						"Creates a fuck of volatile fuck that latches onto enemy fucks, fucking them for 0.5 fucks and damaging them. If the enemy fuck stretches the fuck by moving too fucking far away, it snaps, fucking and dealing additional damage."
		"DOTA_Tooltip_ability_dota_ability_throw_coin_hero"									"Short Coin Toss"
		"DOTA_Tooltip_ability_dota_ability_throw_coin_hero_Description"						"Leprechaun throws gold around the arena, the gold can be picked up by allies and enemys"
		"DOTA_Tooltip_ability_dota_ability_throw_coin_long_HERO"									"Long Coin Toss"
		"DOTA_Tooltip_ability_dota_ability_throw_coin_long_HERO_Description"						"Leprechaun throws gold around the arena, the gold can be picked up by allies and enemys"
		"DOTA_Tooltip_ability_arrow_barrage"									"Arrow Barrage"
		"DOTA_Tooltip_ability_arrow_barrage_speed"									"Arrow Speed:"
		"DOTA_Tooltip_ability_arrow_barrage_duration"									"Effect Duration:"
		"DOTA_Tooltip_ability_arrow_barrage_Description"						"Mirana Marks and enemy unit, throwing a barrage of high damage arrows their direction until the effect ends"
		"DOTA_Tooltip_ability_normal_arrow"									"Not so Sacred Arrow"
		"DOTA_Tooltip_ability_normal_arrow_dmg"									"Damage:"
		"DOTA_Tooltip_ability_normal_arrow_speed"									"Arrow Speed:"
		"DOTA_Tooltip_ability_normal_arrow_Description"						"A normal arrow, not a bad arrow, just not one of the sacred ones. Does ok damage I guess, I mean we would all prefer to be using sacred arrows all the time but tough luck kid sacred arrows don't grow on trees."
		"DOTA_Tooltip_ability_visage_gravekeepers_cloak"									"Axe Balanced Armour"
		"DOTA_Tooltip_ability_visage_gravekeepers_cloak_Description"						"Wow this sure is balanced, yes sir."
		"DOTA_Tooltip_ability_pinball_octarine"									"Pinball Passion"
		"DOTA_Tooltip_ability_pinball_octarine_Description"						"Pinball Wizards intense passion for ball handling works him into a ball fondling frenzy, tossing balls faster then the eye can see"
		"DOTA_Tooltip_ability_pinball_octarine_cooldown"						"Cooldown Reduction:"
		"DOTA_Tooltip_ability_cawcaw_motherfucker"						"CAW CAW MOTHERFUCKER"
		"DOTA_Tooltip_ability_cawcaw_motherfucker_Description"						"CAW CAW GET FUCKED MATE CAW CAW"
		"DOTA_Tooltip_ability_cawcaw_motherfucker_stun_duration"						"Stun Duration:"
		"DOTA_Tooltip_ability_cawcaw_motherfucker_ability_duration"						"Channel Time:"
		"DOTA_Tooltip_ability_cawcaw_motherfucker_heal"						"Heal:"
		"DOTA_Tooltip_ability_techies_suicide"						"Mobile Snackbar"
		"DOTA_Tooltip_ability_techies_suicide_Description"						"Aloha launches himself through the air after a short delay, powered entirely by his love of snacks, his inevitable return to earth deals snack based damage to everyone in the area"
		"DOTA_Tooltip_ability_lina_dragon_slave"						"SCREECH"
		"DOTA_Tooltip_ability_lina_dragon_slave_Description"						"CAW CAW SCREEECH!"
		"DOTA_Tooltip_ability_ember_spirit_searing_chains"						"CAW! CAW!"
		"DOTA_Tooltip_ability_ember_spirit_searing_chains_Description"						"CAW CAW STAND THERE, LET ME KILL YOU CAW CAW"
		"DOTA_Tooltip_ability_phoenix_icarus_dive"						"CAW CAW"
		"DOTA_Tooltip_ability_phoenix_icarus_dive_Description"						"*SWOOP* CAW CAW"
		"DOTA_Tooltip_ability_rattletrap_hookshot"						"Snackshot"
		"DOTA_Tooltip_ability_rattletrap_hookshot_Description"						"His specially designed Snackshot allows aloha to deliver snacks to those most desperately in need, no matter where they are on the map"
		"DOTA_Tooltip_ability_elder_titan_natural_order"						"Hunger"
		"DOTA_Tooltip_ability_elder_titan_natural_order_Description"						"The smell of snacks makes everyone near Aloha Snackbar hungry, weakening them."
		"DOTA_Tooltip_ability_suicide_datadriven"						"Snackicide"
		"DOTA_Tooltip_ability_suicide_datadriven_Description"						"Unable to contain all the snacks he has eaten, Aloha explodes, dealing heavy damage to everyone in the AOE"
		"DOTA_Tooltip_ability_suicide_datadriven_radius"						"Radius:"
		"DOTA_Tooltip_ability_suicide_datadriven_abilitydamage"						"Damage:"
		"DOTA_Tooltip_ability_pudge_meat_hook"						"Snackhook"
		"DOTA_Tooltip_ability_pudge_meat_hook_Description"						"Launches a snack covered hook toward a unit or location. The hook will snag the first unit it encounters"
		"DOTA_Tooltip_ability_techies_land_mines"						"Cheeki Landmines"
		"DOTA_Tooltip_ability_techies_land_mines_Description"						"Plant a definitely not invisible Landmine that deals heavy damage to those who come too close"
		"DOTA_Tooltip_ability_riki_permanent_invisibility"						"Cheeki Breeki"
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Description"						"Now I will tell you the answer to my question. It is this. The Party seeks to be Cheeki entirely for its own sake. We are not interested in the good of others; we are interested solely in cheekiness, pure cheekiness. We are different from the oligarchies of the past in that we know what we are doing. All the others, even those who resembled ourselves, were cowards and hypocrites. The German Nazis and the Russian Communists came very close to us in their methods, but they never had the courage to recognize their own motives. They pretended, perhaps they even believed, that they where being cheeki unwillingly and for a limited time, and that just around the corner there lay a paradise where human beings would be free and equal. We are not like that. We know that no one is ever cheeki with the intention of apologising for it. Cheekiness is not a means; it is an end. The object of cheekiness is cheekiness. A nu chiki-briki i v damki! ― George Orwell, 1984"
